Co_Ref,Prospect_Outcome,Prospect_Renewal_Date,Call_Date,Membership_Renewal_Decision,Serious_Complaint,Other_Complaint,Discussion_on_Price_Increase,Renewal_Impact_Due_to_Price_Increase,Discount_or_Waiver_Requested,Call_Reschedule_Request,Explicit_Competitor_Mention,Explicit_Switching_Intent,Mentioned_Competitors,Desire_To_Cancel,Discount_Offered,Call_Number,call_year,rc_flag
AB0407,Won,2023-04-23,,,,,,,,,,,,,,,,0
AB0722,Churned,2023-11-19,,,,,,,,,,,,,,,,0
AB0902,Won,2025-04-19,2025-03-24,No,unknown,unknown,No,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
AB1160,Churned,2023-05-27,,,,,,,,,,,,,,,,0
AB1212,Won,2025-09-11,2025-08-18,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2025.0,1
AB1806,Churned,2024-06-22,,,,,,,,,,,,,,,,0
AB1870,Churned,2023-07-19,,,,,,,,,,,,,,,,0
AB1960,Won,2025-04-29,2025-04-03,No,No,No,No,No,No,No,No,No,No,Renewed,No,4.0,2025.0,1
AB2056,Won,2025-09-03,,,,,,,,,,,,,,,,0
AB2056,Won,2024-09-03,,,,,,,,,,,,,,,,0
AB2056,Won,2023-09-03,,,,,,,,,,,,,,,,0
AB2451,Won,2024-09-29,2024-09-04,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,1.0,2024.0,1
AB2533,Won,2025-04-30,,,,,,,,,,,,,,,,0
AB2533,Won,2024-04-30,,,,,,,,,,,,,,,,0
AB2533,Won,2023-04-30,,,,,,,,,,,,,,,,0
AB2727,Churned,2025-02-19,,,,,,,,,,,,,,,,0
AB2865,Churned,2024-08-23,,,,,,,,,,,,,,,,0
AB2865,Won,2023-08-23,,,,,,,,,,,,,,,,0
AB3251,Won,2024-11-26,2024-11-11,No,No,No,No,No,No,No,No,No,No,Not Discussed,No,3.0,2024.0,1
AB3560,Won,2024-04-30,2024-04-16,No,No,No,No,No,No,No,No,No,No,Renewed,No,1.0,2024.0,1
AB3560,Won,2025-04-30,2025-04-03,No,No,No,Yes,No,No,No,No,No,No,Renewed,No,2.0,2025.0,1
