Class,precision,recall,f1-score,support
No (Renewed),0.9810146280734516,0.8432316746923488,0.9069198676449431,3738.0
Yes (Churned),0.27832512315270935,0.7874564459930313,0.41128298453139217,287.0
accuracy,0.8392546583850932,0.8392546583850932,0.8392546583850932,0.8392546583850932
macro avg,0.6296698756130805,0.81534406034269,0.6591014260881677,4025.0
weighted avg,0.9309098112008422,0.8392546583850932,0.8715788029359769,4025.0
